week,consumption_kwh
2025-W00,5489.71
2025-W01,7739.64
2025-W02,7781.72
2025-W03,7757.9
2025-W04,7750.72
2025-W05,7679.05
2025-W06,7667.25
2025-W07,7571.05
2025-W08,7461.58
2025-W09,7365.7
2025-W10,7316.31
2025-W11,7113.13
2025-W12,7047.33
2025-W13,6929.87
2025-W14,6747.48
2025-W15,6656.37
2025-W16,6531.91
2025-W17,6386.87
2025-W18,6279.66
2025-W19,6263.6
2025-W20,6193.91
2025-W21,6112.64
2025-W22,6149.55
2025-W23,6103.99
2025-W24,6155.59
2025-W25,6120.19
2025-W26,6191.79
2025-W27,6175.23
2025-W28,6216.43
2025-W29,6154.45
2025-W30,6121.58
2025-W31,6149.08
2025-W32,6097.48
2025-W33,6087.38
2025-W34,6049.56
2025-W35,6061.48
2025-W36,6165.16
2025-W37,6209.12
2025-W38,6294.98
2025-W39,6423.46
2025-W40,6487.01
2025-W41,6604.23
2025-W42,6678.94
2025-W43,6860.62
2025-W44,6990.56
2025-W45,7120.01
2025-W46,7315.26
2025-W47,7369.18
2025-W48,7411.57
2025-W49,7469.45
2025-W50,7690.18
2025-W51,7741.36
2025-W52,3448.17
