day,consumption_kwh
2025-01-01,1170.32
2025-01-02,1141.21
2025-01-03,1135.63
2025-01-04,1005.88
2025-01-05,1036.67
2025-01-06,1144.42
2025-01-07,1120.19
2025-01-08,1140.59
2025-01-09,1160.23
2025-01-10,1125.94
2025-01-11,1020.67
2025-01-12,1027.6
2025-01-13,1160.79
2025-01-14,1157.08
2025-01-15,1139.62
2025-01-16,1151.1
2025-01-17,1163.91
2025-01-18,1004.71
2025-01-19,1004.52
2025-01-20,1137.41
2025-01-21,1157.82
2025-01-22,1141.25
2025-01-23,1135.69
2025-01-24,1167.31
2025-01-25,1007.27
2025-01-26,1011.15
2025-01-27,1133.06
2025-01-28,1139.37
2025-01-29,1168.97
2025-01-30,1135.48
2025-01-31,1173.33
2025-02-01,1006.34
2025-02-02,994.17
2025-02-03,1144.25
2025-02-04,1136.58
2025-02-05,1128.12
2025-02-06,1148.57
2025-02-07,1121.72
2025-02-08,999.68
2025-02-09,1000.14
2025-02-10,1135.91
2025-02-11,1139.24
2025-02-12,1132.19
2025-02-13,1133.42
2025-02-14,1143.22
2025-02-15,986.6
2025-02-16,996.67
2025-02-17,1117.8
2025-02-18,1129.48
2025-02-19,1112.13
2025-02-20,1126.26
2025-02-21,1121.53
2025-02-22,982.07
2025-02-23,981.78
2025-02-24,1106.35
2025-02-25,1099.83
2025-02-26,1100.98
2025-02-27,1080.24
2025-02-28,1120.65
2025-03-01,982.71
2025-03-02,970.82
2025-03-03,1083.82
2025-03-04,1097.19
2025-03-05,1083.93
2025-03-06,1096.59
2025-03-07,1075.46
2025-03-08,953.42
2025-03-09,975.29
2025-03-10,1106.15
2025-03-11,1075.0
2025-03-12,1102.44
2025-03-13,1072.52
2025-03-14,1065.5
2025-03-15,958.7
2025-03-16,936.01
2025-03-17,1075.47
2025-03-18,1053.85
2025-03-19,1048.65
2025-03-20,1034.36
2025-03-21,1028.19
2025-03-22,942.39
2025-03-23,930.22
2025-03-24,1035.26
2025-03-25,1059.98
2025-03-26,1014.63
2025-03-27,1056.31
2025-03-28,1043.3
2025-03-29,912.43
2025-03-30,925.42
2025-03-31,1028.78
2025-04-01,1019.96
2025-04-02,1030.1
2025-04-03,1022.18
2025-04-04,1038.67
2025-04-05,909.76
2025-04-06,880.42
2025-04-07,1010.55
2025-04-08,987.6
2025-04-09,1007.56
2025-04-10,995.75
2025-04-11,980.74
2025-04-12,884.24
2025-04-13,881.04
2025-04-14,991.89
2025-04-15,1007.37
2025-04-16,965.14
2025-04-17,985.07
2025-04-18,981.99
2025-04-19,869.56
2025-04-20,855.35
2025-04-21,968.88
2025-04-22,985.14
2025-04-23,975.63
2025-04-24,947.93
2025-04-25,941.86
2025-04-26,865.73
2025-04-27,846.72
2025-04-28,961.24
2025-04-29,949.69
2025-04-30,935.75
2025-05-01,912.43
2025-05-02,932.92
2025-05-03,849.1
2025-05-04,845.74
2025-05-05,921.77
2025-05-06,918.53
2025-05-07,925.39
2025-05-08,917.37
2025-05-09,928.65
2025-05-10,838.22
2025-05-11,829.72
2025-05-12,926.03
2025-05-13,915.11
2025-05-14,903.23
2025-05-15,923.03
2025-05-16,932.94
2025-05-17,826.67
2025-05-18,836.59
2025-05-19,914.66
2025-05-20,912.54
2025-05-21,911.86
2025-05-22,913.31
2025-05-23,902.32
2025-05-24,816.1
2025-05-25,823.12
2025-05-26,898.7
2025-05-27,902.87
2025-05-28,887.35
2025-05-29,913.64
2025-05-30,879.4
2025-05-31,817.62
2025-06-01,813.07
2025-06-02,912.19
2025-06-03,919.17
2025-06-04,893.62
2025-06-05,901.82
2025-06-06,904.22
2025-06-07,811.33
2025-06-08,807.2
2025-06-09,909.67
2025-06-10,884.62
2025-06-11,884.35
2025-06-12,901.25
2025-06-13,875.68
2025-06-14,823.84
2025-06-15,824.58
2025-06-16,900.9
2025-06-17,896.91
2025-06-18,898.64
2025-06-19,896.56
2025-06-20,901.83
2025-06-21,834.21
2025-06-22,826.55
2025-06-23,912.54
2025-06-24,908.9
2025-06-25,884.74
2025-06-26,875.98
2025-06-27,899.53
2025-06-28,811.6
2025-06-29,826.89
2025-06-30,903.25
2025-07-01,912.67
2025-07-02,909.76
2025-07-03,906.9
2025-07-04,903.78
2025-07-05,834.62
2025-07-06,820.83
2025-07-07,901.66
2025-07-08,906.25
2025-07-09,913.71
2025-07-10,918.6
2025-07-11,898.74
2025-07-12,814.93
2025-07-13,821.33
2025-07-14,923.34
2025-07-15,909.98
2025-07-16,901.38
2025-07-17,903.71
2025-07-18,920.72
2025-07-19,832.93
2025-07-20,824.37
2025-07-21,893.61
2025-07-22,889.06
2025-07-23,914.46
2025-07-24,888.81
2025-07-25,902.89
2025-07-26,819.57
2025-07-27,846.05
2025-07-28,899.67
2025-07-29,897.57
2025-07-30,897.99
2025-07-31,890.95
2025-08-01,904.37
2025-08-02,804.96
2025-08-03,826.08
2025-08-04,903.58
2025-08-05,888.14
2025-08-06,892.78
2025-08-07,907.01
2025-08-08,922.43
2025-08-09,818.94
2025-08-10,816.2
2025-08-11,896.51
2025-08-12,892.32
2025-08-13,888.89
2025-08-14,892.64
2025-08-15,905.89
2025-08-16,798.84
2025-08-17,822.38
2025-08-18,899.83
2025-08-19,885.72
2025-08-20,890.99
2025-08-21,878.26
2025-08-22,903.58
2025-08-23,815.0
2025-08-24,814.01
2025-08-25,899.29
2025-08-26,878.89
2025-08-27,885.66
2025-08-28,890.93
2025-08-29,883.35
2025-08-30,793.78
2025-08-31,817.66
2025-09-01,890.15
2025-09-02,895.24
2025-09-03,885.4
2025-09-04,895.81
2025-09-05,882.54
2025-09-06,802.17
2025-09-07,810.17
2025-09-08,906.73
2025-09-09,906.79
2025-09-10,909.85
2025-09-11,906.68
2025-09-12,901.89
2025-09-13,815.28
2025-09-14,817.94
2025-09-15,891.9
2025-09-16,915.15
2025-09-17,899.57
2025-09-18,915.48
2025-09-19,915.5
2025-09-20,834.05
2025-09-21,837.46
2025-09-22,928.35
2025-09-23,913.94
2025-09-24,918.79
2025-09-25,915.65
2025-09-26,943.19
2025-09-27,847.46
2025-09-28,827.59
2025-09-29,938.74
2025-09-30,931.46
2025-10-01,963.06
2025-10-02,938.46
2025-10-03,943.1
2025-10-04,846.81
2025-10-05,861.83
2025-10-06,916.18
2025-10-07,971.57
2025-10-08,960.77
2025-10-09,946.24
2025-10-10,960.24
2025-10-11,866.07
2025-10-12,865.94
2025-10-13,947.43
2025-10-14,964.08
2025-10-15,975.89
2025-10-16,985.36
2025-10-17,985.51
2025-10-18,875.52
2025-10-19,870.45
2025-10-20,951.08
2025-10-21,977.43
2025-10-22,982.5
2025-10-23,995.37
2025-10-24,997.88
2025-10-25,869.08
2025-10-26,905.6
2025-10-27,1002.8
2025-10-28,1017.36
2025-10-29,1005.77
2025-10-30,1005.64
2025-10-31,1016.7
2025-11-01,904.57
2025-11-02,907.78
2025-11-03,1020.49
2025-11-04,1017.7
2025-11-05,1025.1
2025-11-06,1046.66
2025-11-07,1041.55
2025-11-08,926.4
2025-11-09,912.66
2025-11-10,1042.35
2025-11-11,1037.92
2025-11-12,1057.75
2025-11-13,1049.3
2025-11-14,1053.15
2025-11-15,940.07
2025-11-16,939.45
2025-11-17,1069.85
2025-11-18,1083.96
2025-11-19,1093.2
2025-11-20,1078.11
2025-11-21,1096.69
2025-11-22,953.38
2025-11-23,940.07
2025-11-24,1076.86
2025-11-25,1077.65
2025-11-26,1099.9
2025-11-27,1078.97
2025-11-28,1103.04
2025-11-29,967.21
2025-11-30,965.55
2025-12-01,1095.63
2025-12-02,1077.63
2025-12-03,1129.13
2025-12-04,1082.49
2025-12-05,1085.86
2025-12-06,984.81
2025-12-07,956.02
2025-12-08,1116.28
2025-12-09,1100.64
2025-12-10,1097.75
2025-12-11,1087.04
2025-12-12,1122.75
2025-12-13,964.99
2025-12-14,980.01
2025-12-15,1139.88
2025-12-16,1135.94
2025-12-17,1117.35
2025-12-18,1133.02
2025-12-19,1149.41
2025-12-20,1019.98
2025-12-21,994.6
2025-12-22,1136.18
2025-12-23,1147.88
2025-12-24,1132.82
2025-12-25,1156.4
2025-12-26,1150.5
2025-12-27,1003.17
2025-12-28,1014.41
2025-12-29,1151.76
2025-12-30,1150.41
2025-12-31,1146.0
